Date,Arrivals,Departures,Exchange rate
10-Jul,485700,593700,0.8986
10-Aug,489000,598600,0.8918
10-Sep,491200,603300,0.9667
10-Oct,491700,606300,0.9761
10-Nov,490000,608100,0.9618
10-Dec,486800,611700,1.0163
11-Jan,482800,617500,0.9924
11-Feb,478500,624100,1.0163
11-Mar,475200,626100,1.0334
11-Apr,473900,635300,1.09
11-May,475200,643600,1.0709
11-Jun,478900,650300,1.0739
11-Jul,483500,654400,1.0954
11-Aug,487100,655900,1.0691
11-Sep,488800,655500,0.9781
11-Oct,488800,655600,1.0509
11-Nov,488600,657900,1.0021
11-Dec,488600,660800,1.0156
12-Jan,489600,665200,1.0637
12-Feb,491700,670400,1.0816
12-Mar,493700,675100,1.0402
12-Apr,495500,678400,1.0453
12-May,497100,680000,0.9727
12-Jun,499000,680700,1.0191
12-Jul,501800,682000,1.0526
12-Aug,505700,684200,1.0301
12-Sep,509400,686400,1.0464
12-Oct,512400,688800,1.0378
12-Nov,513900,691100,1.0431
12-Dec,514000,694300,1.0384
13-Jan,513400,698500,1.0394
13-Feb,512900,703900,1.0275
13-Mar,513600,710400,1.0426
13-Apr,515700,717500,1.0368
13-May,519500,724300,0.9649
13-Jun,524200,729300,0.9275
13-Jul,529000,732500,0.9037
13-Aug,533900,735200,0.8947
13-Sep,539200,738700,0.9309
13-Oct,544400,741200,0.949
13-Nov,549300,742300,0.9087
13-Dec,553900,743300,0.8948
14-Jan,558400,744600,0.8763
14-Feb,562500,746900,0.8947
14-Mar,566000,750000,0.9221
14-Apr,569300,754400,0.9287
